LOCATION,TIME,Value
AUS AUD,2000,1.725
AUS AUD,2001,1.933
AUS AUD,2002,1.841
AUS AUD,2003,1.542
AUS AUD,2004,1.360
AUS AUD,2005,1.309
AUS AUD,2006,1.328
AUS AUD,2007,1.195
AUS AUD,2008,1.192
AUS AUD,2009,1.282
AUS AUD,2010,1.090
AUS AUD,2011,0.969
AUS AUD,2012,0.966
AUS AUD,2013,1.036
AUS AUD,2014,1.109
AUS AUD,2015,1.331
AUS AUD,2016,1.345
AUS AUD,2017,1.305
AUS AUD,2018,1.338
AUS AUD,2019,1.439
AUS AUD,2020,1.453
AUS AUD,2021,1.331
UK GBP,2000,0.661
UK GBP,2001,0.695
UK GBP,2002,0.667
UK GBP,2003,0.612
UK GBP,2004,0.546
UK GBP,2005,0.550
UK GBP,2006,0.543
UK GBP,2007,0.500
UK GBP,2008,0.544
UK GBP,2009,0.642
UK GBP,2010,0.647
UK GBP,2011,0.624
UK GBP,2012,0.633
UK GBP,2013,0.640
UK GBP,2014,0.608
UK GBP,2015,0.655
UK GBP,2016,0.741
UK GBP,2017,0.777
UK GBP,2018,0.750
UK GBP,2019,0.783
UK GBP,2020,0.780
UK GBP,2021,0.727
US USD,2000,1.000
US USD,2001,1.000
US USD,2002,1.000
US USD,2003,1.000
US USD,2004,1.000
US USD,2005,1.000
US USD,2006,1.000
US USD,2007,1.000
US USD,2008,1.000
US USD,2009,1.000
US USD,2010,1.000
US USD,2011,1.000
US USD,2012,1.000
US USD,2013,1.000
US USD,2014,1.000
US USD,2015,1.000
US USD,2016,1.000
US USD,2017,1.000
US USD,2018,1.000
US USD,2019,1.000
US USD,2020,1.000
US USD,2021,1.000
European Euro,2000,1.083
European Euro,2001,1.117
European Euro,2002,1.058
European Euro,2003,0.884
European Euro,2004,0.804
European Euro,2005,0.804
European Euro,2006,0.796
European Euro,2007,0.730
European Euro,2008,0.680
European Euro,2009,0.717
European Euro,2010,0.754
European Euro,2011,0.718
European Euro,2012,0.778
European Euro,2013,0.753
European Euro,2014,0.753
European Euro,2015,0.901
European Euro,2016,0.903
European Euro,2017,0.885
European Euro,2018,0.847
European Euro,2019,0.893
European Euro,2020,0.876
European Euro,2021,0.845
New Zealand NZ,2000,2.201
New Zealand NZ,2001,2.379
New Zealand NZ,2002,2.162
New Zealand NZ,2003,1.722
New Zealand NZ,2004,1.509
New Zealand NZ,2005,1.420
New Zealand NZ,2006,1.542
New Zealand NZ,2007,1.361
New Zealand NZ,2008,1.423
New Zealand NZ,2009,1.601
New Zealand NZ,2010,1.388
New Zealand NZ,2011,1.266
New Zealand NZ,2012,1.234
New Zealand NZ,2013,1.219
New Zealand NZ,2014,1.205
New Zealand NZ,2015,1.434
New Zealand NZ,2016,1.437
New Zealand NZ,2017,1.407
New Zealand NZ,2018,1.445
New Zealand NZ,2019,1.518
New Zealand NZ,2020,1.542
New Zealand NZ,2021,1.414
